Run,M1, M2, M3, M4, M5
ERR016338,1450.6,1944.63,1230.4,1228.53,1488.43
ERR018448,1728.43,1931.89,1470.51,1342.21,1614.56
ERR018538,1005.04,1339.81,858.82,848.2,1018.9
ERR019492,1514.57,2147.95,1238.87,1245.17,1641.76
ERR068392,1316.85,1573.26,1145.66,1158.53,1435.51
ERR019897,1720.48,2463.46,1413.85,1361.94,1749.42
ERR020253,5062.58,7095.02,4665.8,4290.53,5751.3
ERR020263,5260.97,7003.53,4501.86,4294.82,5539.98
ERR016314,1084.46,1288.17,939,886.34,1149.32
ERR020288,5157.97,7296.98,4716.16,4426.81,5770.17
SRR111943,4058.47,5488.9,3588.5,3606.61,4594.92
ERR062934,1269.34,1544.56,991.47,954.29,1172.66
ERR020289,5123.27,7052.54,4730.38,4690.15,6066.2
ERR018460,1910.39,2027.65,1532.64,1482.81,1580.6
SRR794367,2177.26,2908.4,1627.88,1686.39,2244.84
ERR018475,1825.76,2032.15,1470.24,1435.13,1583.02
ERR062924,1192.14,1536.23,937.77,959.13,1078.42
ERR018204,1790.49,2570.16,1679.43,1388.64,1657.89
