Run,M1_fq2bam,M1_haplotype,M2_fq2bam,M2_haplotype,M3_fq2bam,M3_haplotype,M4_fq2bam, M4_haplotype,M5_fq2bam,M5_haplotype
ERR016338,731.97,794.48,1110.91,1107.44,449.53,794.8,506.27,768.24,707,1041.28
ERR018448,757.98,534.7,1068,732.7,576.73,582.62,679.78,542.96,745.27,690.19
ERR018538,467.83,1012.22,704.07,677.08,324.67,513.94,361.73,488.54,438.03,610.98
ERR019492,763.3,943.04,1273.29,1156.88,553.96,815.38,601.76,812.26,735.78,1079.23
ERR068392,650.32,862.56,872.44,824.82,468,655.87,526.62,601.12,659.49,786.04
ERR019897,897.57,2232.06,1388.94,1463.42,602.06,993.24,782.91,825.24,886.85,1286.68
ERR020253,2338.77,3169.4,3412.96,4322.7,1644.6,3218.74,1811.5,2892.58,2153.83,4120.71
ERR020263,2362.42,2987.6,3510.76,4101.36,1408.8,3002.62,1800.85,2594.4,2091.83,3793.16
ERR016314,445.44,615.68,621.93,556.24,331.05,447.29,389.8,425.98,434.47,532.87
ERR020288,2371.73,3245.54,3481.8,4680.22,1588.59,3266.96,1816.71,2932.44,2171.87,4353.25
SRR111943,2601.27,2252.7,3274.17,1504.92,1646.86,1015,1753.5,882.06,2044.8,1442.62
ERR062934,642.4,692.4,848.63,719.7,462.64,623.82,529.4,576.4,659.08,699.75
ERR020289,2372.19,3106.42,3414.43,4686.78,1435.47,3361.68,1739.32,3085.1,2002.68,4371.75
ERR018460,846.16,901.14,1269.54,731.08,666.74,560.7,789.65,503.44,799.97,670.12
SRR794367,962.5,1056.3,1512.69,1328.66,615.35,974.32,768.22,926.58,830.56,1293.67
ERR018475,895.36,1026.66,1303.41,787.84,606.06,575.94,787.93,527.36,812.81,712.81
ERR062924,526.34,893.86,713.84,609.58,395.15,525.8,445.89,490.74,491.78,587.78
ERR018204,873.94,1623.36,1231.31,2890.52,819.23,2307.56,743.37,2039.54,756.61,2813.99
