	spots	bases	spots_with_mates	avgLength	size_MB	InsertSize	ProjectID	TaxID	None_mqc-generalstats-fastqc-percent_duplicates	None_mqc-generalstats-fastqc-percent_gc	None_mqc-generalstats-fastqc-avg_sequence_length	None_mqc-generalstats-fastqc-median_sequence_length	None_mqc-generalstats-fastqc-percent_fails	None_mqc-generalstats-fastqc-total_sequences	Unique Reads	Duplicate Reads	fsch_Per Base Sequence Quality	fsch_Per Tile Sequence Quality	fsch_Per Sequence Quality Scores	fsch_Per Base Sequence Content	fsch_Per Sequence GC Content	fsch_Per Base N Content	fsch_Sequence Length Distribution	fsch_Sequence Duplication Levels	fsch_Overrepresented Sequences	fsch_Adapter Content	Label
0	343479	50388441	343479	146	19	0	1077563	2697049	85.2319938	38	73.35256304	74	18.18181818	0.343479	50725	292754	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1	63
1	89270777	13569158104	89270777	152	7822	483	42573	9606	9.536562875	39	76	76	9.090909091	89.270777	80757414	8513363	0.25	1	1	1	0.5	1	1	1	0.5	1	1178
2	98454573	17918732286	98454573	182	10121	498	41223	9606	9.850720636	39	99	99	18.18181818	98.454573	88756089	9698484	0.25	0.25	1	1	0.5	0.5	1	1	0.5	1	2606
3	26144547	5647222152	26144547	216	3823	450	38449	9606	9.763711886	43	108	108	0	26.144547	23591869	2552678	1	0.5	1	1	0.5	1	1	1	1	1	886
4	15053976	3251658816	15053976	216	1990	450	38449	9606	13.3701159	40	108	108	0	15.053976	13041242	2012734	1	1	1	1	1	1	1	1	1	1	530
5	15416322	3329925552	15416322	216	2117	450	41139	9606	9.457287526	40	108	108	0	15.416322	13958357	1457965	1	1	1	1	0.5	1	1	1	0.5	1	509
6	24703064	5335861824	24703064	216	3651	450	41139	9606	6.167636694	38	108	108	0	24.703064	23179469	1523595	1	1	1	1	1	1	1	1	1	1	667
7	13133505	2836837080	13133505	216	1624	450	33847	9606	10.80622827	42	108	108	9.090909091	13.133505	11714269	1419236	1	0.25	1	1	0.5	1	1	1	0.5	1	491
8	15531162	3106232400	15531162	200	1905	395	38447	9606	0.967340462	41	100	100	18.18181818	15.531162	15380923	150239	0.25	0.25	1	1	0.5	0.5	1	1	1	1	485
9	22019169	4403833800	22019169	200	2815	384	38447	9606	1.138469561	41	100	100	18.18181818	22.019169	21768488	250681	0.25	0.25	1	1	0.5	0.5	1	1	1	1	631
10	19517187	3903437400	19517187	200	2514	384	38447	9606	1.08805749	41	100	100	18.18181818	19.517187	19304829	212358	0.25	0.25	1	1	0.5	0.5	1	1	1	1	564
11	25549954	5109990800	25549954	200	3275	387	38447	9606	1.983529504	41	100	100	18.18181818	25.549954	25043164	506790	0.25	0.25	1	1	0.5	1	1	1	1	1	680
12	24201100	4840220000	24201100	200	3104	387	38447	9606	1.81871669	41	100	100	18.18181818	24.2011	23760951	440149	0.25	0.25	1	1	0.5	1	1	1	1	1	677
13	16117290	3223458000	16117290	200	1983	394	38447	9606	1.080641267	41	100	100	18.18181818	16.11729	15943120	174170	0.25	0.25	1	1	0.5	1	1	1	1	1	488
14	25094690	5018938000	25094690	200	2978	392	38447	9606	1.763966196	42	100	100	9.090909091	25.09469	24652029	442661	0.5	0.25	1	1	0.5	1	1	1	1	1	684
15	24406899	4881379800	24406899	200	3038	444	42557	9606	2.546288133	43	100	100	27.27272727	24.406899	23785430	621469	0.25	0.25	1	1	0.25	1	1	1	0.5	1	691
16	16953863	3390772600	16953863	200	2173	444	42557	9606	1.330488866	45	100	100	18.18181818	16.953863	16728294	225569	0.25	0.25	1	1	0.5	1	1	1	1	1	614
17	41346904	8269380800	0	200	5160	325	33847	9606	5.59881292	42	100	100	0	41.346904	39031969	2314935	1	0.5	1	0.5	0.5	1	1	1	1	1	906
18	40954912	8190982400	40954912	200	5430	342	33865	9606	5.871295583	41	100	100	9.090909091	40.954912	38550329	2404583	1	0.25	1	0.5	0.5	1	1	1	1	1	1000
19	40849612	8169922400	40849612	200	5392	342	33865	9606	6.111284772	41	100	100	0	40.849612	38353176	2496436	1	0.5	1	1	0.5	1	1	1	1	1	989
20	16098118	2446913936	16098118	152	1649	175	33847	9606	3.750143213	45	76	76	0	16.098118	15494416	603702	1	1	1	0.5	0.5	1	1	1	1	1	396
21	24835568	5364482688	24835568	216	3558	400	33835	9606	5.432086482	43	108	108	9.090909091	24.835568	23486479	1349089	1	0.25	1	0.5	0.5	1	1	1	1	1	792
22	27232292	5882175072	27232292	216	3694	450	38449	9606	5.277939289	40	108	108	0	27.232292	25794989	1437303	1	1	1	1	0.5	1	1	1	1	1	719
23	16499540	3563900640	16499540	216	2248	450	41223	9606	17.73455991	40	108	108	9.090909091	16.49954	13573420	2926120	1	0.5	1	0.5	1	1	1	1	0.25	0.5	604
