Sample	1T4GPU (M0)	2T4GPU (M1)	1RTX GPU (M2)	2RTX GPU (M3)	3RTX GPU (M4)
ERR016294	921	591	655	444	424
ERR016314	553	405	459	364	361
ERR016316	635	439	483	394	379
ERR016317	606	431	485	378	377
ERR016320	767	488	587	420	414
ERR016326	1262	821	965	629	626
ERR016327	1672	1005	1226	798	768
ERR016338	1231	806	979	683	663
ERR016344	1059	711	838	592	593
ERR016350	911	601	683	470	488
ERR018197	2270	1632	2021	1466	1500
ERR018198	2409	1685	2106	1489	1514
ERR018204	2391	1625	2037	1519	1489
ERR018395	513	376	414	322	307
ERR018416	3520	2406	2873	2139	2190
ERR018423	937	647	723	526	523
ERR018429	1894	205	1699	132	129
ERR018435	975	635	758	537	537
ERR018436	952	614	745	556	536
ERR018442	3298	2336	2945	2133	2174
ERR018448	988	670	789	563	558
ERR018454	3416	2333	2707	2082	2092
ERR018460	991	673	793	541	550
ERR018463	1030	647	788	549	559
ERR018469	1033	685	816	564	558
ERR018475	1025	678	824	564	551
ERR018476	4121	2799	3578	2300	2358
ERR018482	1052	673	822	562	551
ERR018491	1981	1191	1509	990	969
ERR018492	4261	2713	3401	2261	2309
ERR018501	1436	892	1029	719	729
ERR018507	812	518	624	437	436
ERR018513	754	526	588	436	442
ERR018517	1039	671	773	568	565
ERR018538	678	485	550	407	421
ERR018544	1188	759	936	635	638
ERR018550	1032	697	798	556	578
ERR018558	1131	739	887	647	626
ERR019481	1982	1297	1524	1005	1019
ERR019482	1382	894	1068	749	752
ERR019488	1043	670	764	528	540
ERR019492	1343	878	1003	695	708
ERR019498	1437	971	1104	780	765
ERR019897	1523	960	1191	810	817
ERR019903	1481	975	1141	798	806
ERR020157	1034	661	794	551	541
ERR020229	62	2961	42	62	62
ERR020235	3895	2622	3251	2101	2208
ERR020241	4395	2966	3869	2635	2544
ERR020247	4547	2867	3802	2537	2518
ERR020253	4312	2846	3603	2501	2462
ERR020257	4314	2838	3504	2592	2480
ERR020263	4024	2661	3262	2226	2255
ERR020264	4356	2727	3393	2266	2347
ERR020270	3814	2572	3230	2280	2140
ERR020276	4942	1066	4124	2695	2678
ERR020282	4697	2992	3814	2588	619
ERR020288	4374	2882	3751	2469	2540
ERR020289	4426	2904	3575	2563	544
ERR022370	704	479	562	434	415
ERR022393	1049	716	803	601	591
ERR022429	748	510	595	437	424
ERR022450	1607	1002	1311	900	834
ERR022456	2484	1561	1946	1394	1184
ERR022457	1523	991	1211	918	832
ERR022463	1870	1164	1543	1080	968
ERR022469	2111	1289	1615	1122	1008
ERR023204	2284	1545	1931	1394	1418
ERR023210	2232	1616	2011	1443	1425
ERR023211	2318	1615	2001	1493	1476
ERR023220	2308	1659	2033	1544	1509
ERR023221	2402	1625	1990	1503	1537
ERR062924	676	503	566	454	425
ERR062930	920	631	735	599	547
ERR062934	854	596	696	558	517
ERR062940	1010	736	813	636	595
ERR062941	987	682	822	634	578
ERR062947	678	485	580	470	428
ERR062953	1006	704	839	653	591
ERR062959	1010	702	828	634	588
ERR062966	849	612	724	566	537
ERR062967	775	589	662	539	496
ERR062973	851	590	691	549	522
ERR062979	856	598	697	562	519
ERR065364	1648	1047	1300	1011	874
ERR068392	911	617	720	566	532
ERR12713838	62	64	61	63	63
SRR111943	3417	1980	2427	1467	1458
SRR793879	828	575	682	503	495
SRR794275	1439	931	1133	765	758
SRR794312	1645	1056	1292	854	847
SRR794319	1455	921	1165	796	778
SRR794349	1745	1087	1366	901	896
SRR794355	1851	1144	1386	928	958
SRR794367	1542	1013	1167	835	851
SRR794387	1565	1031	1192	868	827
SRR794397	1564	945	1216	835	809
SRR794398	1588	1010	1246	841	846
SRR799760	643	445	511	403	378
