Sample,fq2bam,haplotype,fq2bam,haplotype,fq2bam,haplotype,fq2bam,haplotype,fq2bam,haplotype
ERR016294,657,315,378,224,392,283,229,223,171,214
ERR016314,323,253,198,224,224,262,137,233,106,223
ERR016316,342,293,217,255,236,292,159,263,114,244
ERR016317,339,293,207,254,224,293,143,253,114,244
ERR016320,470,334,260,264,282,322,176,263,130,244
ERR016326,783,575,459,433,455,514,260,373,202,355
ERR016327,1051,673,610,483,598,644,339,443,266,415
ERR016338,645,638,388,454,387,633,227,453,179,423
ERR016344,625,504,368,405,380,494,225,393,177,364
ERR016350,517,443,291,324,307,413,188,303,145,283
ERR018197,732,1584,437,1334,442,1624,252,1314,197,1235
ERR018198,759,1656,447,1338,460,1674,271,1354,203,1254
ERR018204,726,1605,437,1314,440,1663,252,1343,196,1244
ERR018395,313,233,199,184,208,223,139,192,110,183
ERR018416,1282,2286,727,1766,764,2463,428,1814,315,1704
ERR018423,625,354,374,294,402,352,236,303,202,294
ERR018429,598,1333,206,0,381,1324,132,1,95,1
ERR018435,639,364,372,294,415,353,245,313,193,303
ERR018436,585,403,341,333,381,412,232,333,176,324
ERR018442,1171,2359,666,1795,703,2153,406,1793,307,1784
ERR018448,619,365,373,334,404,392,233,323,189,324
ERR018454,1247,2429,723,1684,749,2237,421,1693,317,1644
ERR018460,691,356,414,264,446,362,256,303,195,294
ERR018463,663,384,386,304,452,393,246,313,197,293
ERR018469,705,376,402,304,473,383,260,313,202,305
ERR018475,706,383,407,314,503,352,265,304,200,294
ERR018476,2058,2259,1146,1703,1229,2344,669,1704,491,1535
ERR018482,681,405,404,325,464,414,255,333,196,314
ERR018491,1390,691,795,475,885,614,492,473,364,474
ERR018492,2037,2196,1122,1667,1211,2275,663,1623,478,1554
ERR018501,781,663,452,486,457,624,262,463,198,404
ERR018507,439,395,244,313,267,382,178,293,128,274
ERR018513,406,364,245,293,251,363,174,303,123,294
ERR018517,604,466,359,354,370,454,232,354,171,355
ERR018538,348,385,196,274,217,353,155,284,115,264
ERR018544,666,537,404,424,406,503,246,394,186,414
ERR018550,594,474,352,364,375,474,225,374,173,354
ERR018558,561,595,326,436,357,553,224,423,160,384
ERR019481,1122,962,650,643,652,855,374,664,271,654
ERR019482,729,664,434,525,440,634,263,523,196,474
ERR019488,616,446,363,344,372,422,242,333,171,314
ERR019492,740,634,430,473,437,605,269,464,190,424
ERR019498,821,670,489,524,494,643,300,504,211,495
ERR019897,794,769,460,534,477,732,280,545,210,454
ERR019903,832,722,484,524,497,693,296,534,213,485
ERR020157,584,455,351,344,365,452,219,353,159,313
ERR020229,62,1,125,1,41,1,62,2,72,1
ERR020235,1993,2110,1114,1564,1198,2034,646,1595,479,1465
ERR020241,1875,2705,1046,1966,1144,2684,625,2004,453,1834
ERR020247,1992,2584,1089,1900,1192,2473,645,1934,380,1
ERR020253,1890,2487,1045,1826,1143,2483,624,1874,450,1745
ERR020257,1757,2618,986,1844,1063,2674,591,1834,421,1804
ERR020263,1931,2189,1068,1512,1162,2153,640,1534,460,1504
ERR020264,2096,2218,1155,1619,1241,2214,686,1664,490,1555
ERR020270,1729,2034,972,1620,1042,2214,579,1554,413,1564
ERR020276,2215,2925,1219,2044,1326,2854,726,1953,522,1855
ERR020282,2183,2612,1026,1,1321,2635,728,1874,519,1724
ERR020288,1979,2659,1094,1820,1193,2464,650,1864,470,1765
ERR020289,1922,2646,1063,1897,1157,2624,544,1,456,1805
ERR022370,440,303,261,254,279,303,171,252,137,254
ERR022393,666,443,392,335,430,423,258,353,199,334
ERR022429,494,284,300,254,314,282,201,253,148,254
ERR022450,935,707,526,534,637,682,407,492,262,485
ERR022456,1743,930,976,618,1080,874,764,614,481,575
ERR022457,936,635,547,494,590,623,409,473,272,433
ERR022463,1173,767,677,555,746,773,513,543,342,524
ERR022469,1465,698,830,505,907,704,590,494,402,484
ERR023204,760,1484,453,1154,464,1504,271,1143,208,1094
ERR023210,731,1556,435,1153,446,1592,254,1204,195,1155
ERR023211,729,1664,426,1176,446,1624,256,1233,197,1174
ERR023220,800,1545,466,1214,494,1604,282,1203,211,1195
ERR023221,726,1656,431,1256,457,1713,259,1283,197,1174
ERR062924,378,350,236,288,253,335,179,273,135,274
ERR062930,520,439,311,358,349,414,241,343,169,345
ERR062934,486,380,286,333,326,383,227,325,162,334
ERR062940,589,470,355,386,375,454,263,364,189,384
ERR062941,554,454,335,368,387,455,263,383,181,364
ERR062947,388,347,226,274,268,334,182,283,127,283
ERR062953,559,480,341,367,371,444,277,383,187,375
ERR062959,589,472,343,380,378,443,265,373,185,374
ERR062966,431,453,251,384,293,473,205,383,140,384
ERR062967,460,378,269,331,311,384,223,314,155,324
ERR062973,466,419,287,346,296,394,220,334,156,334
ERR062979,473,404,287,350,305,413,223,353,152,334
ERR065364,969,730,555,557,620,704,438,524,286,514
ERR068392,481,425,294,354,318,433,227,353,159,333
ERR12713838,29,33,32,32,28,32,32,32,35,32
SRR111943,2388,1070,1301,720,1402,1024,766,714,542,634
SRR793879,441,403,268,315,289,373,214,313,147,314
SRR794275,809,686,470,495,488,593,283,493,215,454
SRR794312,920,735,532,568,546,753,313,563,233,524
SRR794319,739,745,428,534,448,704,263,523,204,514
SRR794349,971,800,570,618,581,763,330,584,252,544
SRR794355,1043,840,602,615,615,805,346,584,268,535
SRR794367,854,766,494,527,507,663,295,544,225,514
SRR794387,809,742,475,575,488,783,284,574,222,505
SRR794397,840,755,498,502,504,684,293,543,225,495
SRR794398,863,759,505,560,518,704,300,554,229,514
SRR799760,380,283,223,249,250,283,176,243,129,234
