Run,M1, M2, M3, M4, M5
SRR794398,1384.69,2401.39,588.87,778.57,1112.59
ERR020241,2497.16,4312.12,1179.9,1594.14,2170.04
ERR022393,966.36,1476.64,483.42,603.49,765.32
ERR062924,610.36,928.12,313.72,386.47,488.55
ERR018442,1767.42,2778.6,834.22,1145.91,1276.42
ERR018550,793.44,1378.38,343.53,486.33,646.16
ERR018454,1713.56,2598.67,730.27,1048.84,1225.05
ERR018448,892.61,1464.33,462.18,580.33,736.24
ERR018463,1051.9,1705,500.78,647.52,836
ERR018436,892.6,1530.68,455.61,582.04,735.56
ERR023204,1146.77,2016.36,499.47,674.76,943.56
ERR022463,1613.51,2704.59,698.66,936.72,1294.53
ERR016316,536.11,802.31,269.83,328.95,429.97
ERR018197,1138.6,1968.04,487.18,661.87,906.63
ERR018423,1073,1764.61,553.7,713.02,974.99
ERR018491,2335.88,4581.05,1196,1589.53,2150.48
ERR062953,812.2,1361.36,410.01,510.33,707.88
ERR062973,701.33,1134.06,369.85,472.2,601.29
