Run,M1_fq2bam,M1_haplotype,M2_fq2bam,M2_haplotype,M3_fq2bam,M3_haplotype,M4_fq2bam, M4_haplotype,M5_fq2bam,M5_haplotype
ERR020241,1200,1374,1807,2559,660,492,894,705,1026,1119
ERR018491,1241,1353,1971,2580,747,520,900,748,1059,1167
ERR022463,997,1075,1353,2104,555,394,709,559,845,840
ERR018454,841,1063,1118,1939,432,304,585,423,744,673
ERR018442,760,800,1240,1407,471,303,565,410,723,610
SRR794398,515,885,797,1686,289,289,362,406,464,649
ERR023204,431,676,680,1285,269,227,341,321,382,501
ERR018197,489,684,677,1274,263,228,360,322,410,510
ERR062953,407,475,575,872,291,169,314,232,385,363
ERR062973,333,364,474,685,228,131,274,178,323,270
ERR018463,427,432,618,797,304,158,326,209,379,318
ERR018423,424,400,578,733,281,151,327,192,381,300
ERR022393,465,435,617,802,298,159,341,212,414,323
ERR018448,412,404,574,733,275,153,324,199,374,310
ERR062924,278,253,398,464,189,96,218,127,254,191
ERR018550,336,434,543,804,192,161,254,216,325,332
ERR016316,252,237,327,397,161,81,191,114,228,177
ERR018436,412,380,564,724,274,142,327,189,375,289
