Run,M1, M2, M3, M4, M5
ERR016338,1519.25,1940.42,1238.09,1204.78,1475.25
ERR018448,1656.73,1905.14,1307.9,1278.64,1487.58
ERR018538,987.96,1280.8,875.51,841.31,1039.44
ERR019492,1553.09,2120.66,1221.1,1253.73,1598.49
ERR068392,1409.95,1849.61,1161.27,1160.98,1450.58
ERR019897,1861.56,2657.73,1495.99,1497.11,2036.44
ERR020253,5533.48,7847.09,4571.84,4691.35,6003.51
ERR020263,5757.23,7748.94,4398.58,4297.32,5800.36
ERR016314,1037.67,1256.02,842.11,856.26,1072.37
ERR020288,6013.25,8022.14,4681,4829.24,6211.35
SRR111943,4463.56,5816.07,3321.91,3574.34,4807.27
ERR062934,1228.17,1580.2,1040.44,1038.25,1301.26
ERR020289,5857.71,7840.34,4690.11,4940.24,6176.67
ERR018460,1728.51,2201.98,1508.33,1424.79,1649.36
SRR794367,2228.67,2934.43,1666.31,1729.54,2289.4
ERR018475,1794.4,2111.81,1465.75,1483.09,1560.37
ERR062924,1323.71,1408.8,926.9,1082.81,1220.83
ERR018204,3202.78,4160.66,2698.45,2532,3198.73
